	vertex1 		vertex2			weight
	  12 				6				9
	  12 				11			  15
	  12 				14			  15
	  12 				13			  11
	  13 				14			  18
	  13 				7			  23
	  14 				11			  9
	  14 				10			  8
	  14 				7			 10
	  14 				8			  6
	  11 				0			 14
	  11 				10			 18
	  11 				1			 9
	  0 				1			14
	  1 				2			9
	  1 				10			17
	  2 				10			13
	  2 				3			5
	  2 				9			20
	  3 				9			19
	  3 				4			17
	  4 				9			4
	  4 				5			16
	  5 				9			12
	  5 				7			9
	  5 				6			8
	  6 				7			6
	  7 				8			7
	  8 				10			5
	  8 				9			13
	  9 				7			12
	  10 				9			7
	
